match,group,is_participating,start,end,content
1,0,yes,1,70,/ipfs/QmXVvoJz5GSrhzPWdDKVLbEBzfdvE8HHKAM681yRyNqRwS?filename=1.jpg
1,1,yes,1,2,
1,2,yes,2,8,/ipfs/
1,3,yes,8,54,QmXVvoJz5GSrhzPWdDKVLbEBzfdvE8HHKAM681yRyNqRwS
1,4,yes,54,55,?
1,5,yes,55,64,filename=
1,6,yes,64,65,1
1,7,yes,65,70,.jpg
2,0,yes,72,142,/ipfs/QmQGr1rgHYMRY8mxTsDtCJRfwWCzFU2AdFAvg3HTszcEBt?filename=10.jpg
2,1,yes,72,73,
2,2,yes,73,79,/ipfs/
2,3,yes,79,125,QmQGr1rgHYMRY8mxTsDtCJRfwWCzFU2AdFAvg3HTszcEBt
2,4,yes,125,126,?
2,5,yes,126,135,filename=
2,6,yes,135,137,10
2,7,yes,137,142,.jpg
3,0,yes,144,215,/ipfs/QmXGHpL27rqSrNagcttJtC6RutHobP7ptSD7AJDv2wZB56?filename=100.jpg
3,1,yes,144,145,
3,2,yes,145,151,/ipfs/
3,3,yes,151,197,QmXGHpL27rqSrNagcttJtC6RutHobP7ptSD7AJDv2wZB56
3,4,yes,197,198,?
3,5,yes,198,207,filename=
3,6,yes,207,210,100
3,7,yes,210,215,.jpg
4,0,yes,217,288,/ipfs/QmV7ZXC3e1KmiAgQbYhHwSckKRPRdPtCD72ajMCd3VVGJ5?filename=101.jpg
4,1,yes,217,218,
4,2,yes,218,224,/ipfs/
4,3,yes,224,270,QmV7ZXC3e1KmiAgQbYhHwSckKRPRdPtCD72ajMCd3VVGJ5
4,4,yes,270,271,?
4,5,yes,271,280,filename=
4,6,yes,280,283,101
4,7,yes,283,288,.jpg
5,0,yes,290,361,/ipfs/Qma9dzManyPg4tsA5Xuj9ZCvQurtLRF3HZnEDrWAXyJeDb?filename=102.jpg
5,1,yes,290,291,
5,2,yes,291,297,/ipfs/
5,3,yes,297,343,Qma9dzManyPg4tsA5Xuj9ZCvQurtLRF3HZnEDrWAXyJeDb
5,4,yes,343,344,?
5,5,yes,344,353,filename=
5,6,yes,353,356,102
5,7,yes,356,361,.jpg
6,0,yes,363,434,/ipfs/QmVTgdGzV77oZvJP8zVkLxuB27NZnBoWynCJ7XwapQZ23c?filename=103.jpg
6,1,yes,363,364,
6,2,yes,364,370,/ipfs/
6,3,yes,370,416,QmVTgdGzV77oZvJP8zVkLxuB27NZnBoWynCJ7XwapQZ23c
6,4,yes,416,417,?
6,5,yes,417,426,filename=
6,6,yes,426,429,103
6,7,yes,429,434,.jpg
7,0,yes,436,507,/ipfs/Qmch3d4WThNSstjzSS3nsoDPvHLMoeDEDzDQc8tJjNtbXe?filename=104.jpg
7,1,yes,436,437,
7,2,yes,437,443,/ipfs/
7,3,yes,443,489,Qmch3d4WThNSstjzSS3nsoDPvHLMoeDEDzDQc8tJjNtbXe
7,4,yes,489,490,?
7,5,yes,490,499,filename=
7,6,yes,499,502,104
7,7,yes,502,507,.jpg
8,0,yes,509,580,/ipfs/QmVAPobbow72C93GFLEE26sJFYSq3XpzzmREJvzTjoY4dc?filename=105.jpg
8,1,yes,509,510,
8,2,yes,510,516,/ipfs/
8,3,yes,516,562,QmVAPobbow72C93GFLEE26sJFYSq3XpzzmREJvzTjoY4dc
8,4,yes,562,563,?
8,5,yes,563,572,filename=
8,6,yes,572,575,105
8,7,yes,575,580,.jpg
